DISTANCE,ELEVATION,ELEV_DEM,ID,LATITUDE,LONGITUDE,MNET_ID,NAME,OBSERVATIONS.precipitation,PERIOD_OF_RECORD.end,PERIOD_OF_RECORD.start,RESTRICTED,STATE,STATUS,STID,TIMEZONE,ACCUM_30_DAYS,EPOCH_TIMEDELTA
12.65,727,751.3,63378,30.1821,-97.8222,225,Comburg Dam,"[{'count': 2877, 'first_report': '1536968700', 'total': 4.68, 'last_report': '1539561600', 'report_type': 'precip_accum_fifteen_minute'}]",2018-10-14T16:15:00Z,2017-09-26T18:59:00Z,False,TX,ACTIVE,COBT2,America/Chicago,4.68,2592900
14.47,759,767.7,63383,30.204590000000003,-97.8518,225,Maui Dam,"[{'count': 2878, 'first_report': '1536968700', 'total': 3.8, 'last_report': '1539561600', 'report_type': 'precip_accum_fifteen_minute'}]",2018-10-14T16:15:00Z,2017-09-26T18:59:00Z,False,TX,ACTIVE,MUAT2,America/Chicago,3.8,2592900
14.61,592,603.7,63393,30.21005,-97.77176999999999,225,5100 South Congress,"[{'count': 2853, 'first_report': '1536968700', 'total': 4.8, 'last_report': '1539561600', 'report_type': 'precip_accum_fifteen_minute'}]",2018-10-14T16:15:00Z,2017-09-26T18:59:00Z,False,TX,ACTIVE,ATZT2,America/Chicago,4.8,2592900
13.57,750,761.2,63394,30.195459999999997,-97.8214,225,Seminary Ridge,"[{'count': 2857, 'first_report': '1536968700', 'total': 4.6, 'last_report': '1539561600', 'report_type': 'precip_accum_fifteen_minute'}]",2018-10-14T16:15:00Z,2017-09-26T18:59:00Z,False,TX,ACTIVE,AAFT2,America/Chicago,4.6,2592900
14.86,621,639.8,63396,30.21472,-97.78611,225,Williamson Creek at Emerald Forest Drive,"[{'count': 2874, 'first_report': '1536968700', 'total': 5.08, 'last_report': '1539561600', 'report_type': 'precip_accum_fifteen_minute'}]",2018-10-14T16:15:00Z,2017-09-26T18:59:00Z,False,TX,ACTIVE,AAST2,America/Chicago,5.08,2592900
14.82,712,718.5,63397,30.21303,-97.82833000000001,225,Kincheon Branch and W. William Cannon,"[{'count': 2774, 'first_report': '1536968700', 'total': 4.48, 'last_report': '1539561600', 'report_type': 'precip_accum_fifteen_minute'}]",2018-10-14T16:15:00Z,2017-09-26T18:59:00Z,False,TX,ACTIVE,AAJT2,America/Chicago,4.48,2592900
14.41,841,853.0,63401,30.1968,-97.88,225,Escarpment Boulevard,"[{'count': 2877, 'first_report': '1536968700', 'total': 5.88, 'last_report': '1539561600', 'report_type': 'precip_accum_fifteen_minute'}]",2018-10-14T16:15:00Z,2017-09-26T18:59:00Z,False,TX,ACTIVE,AAPT2,America/Chicago,5.88,2592900
12.21,725,734.9,63429,30.169,-97.8598,225,Slaughter Creek at Brodie Lane,"[{'count': 2874, 'first_report': '1536968700', 'total': 5.04, 'last_report': '1539561600', 'report_type': 'precip_accum_fifteen_minute'}]",2018-10-14T16:15:00Z,2017-09-26T18:59:00Z,False,TX,ACTIVE,AWMT2,America/Chicago,5.04,2592900
12.32,736,741.5,63430,30.1754,-97.8369,225,Tanglewood Dam,"[{'count': 2873, 'first_report': '1536968700', 'total': 3.96, 'last_report': '1539561600', 'report_type': 'precip_accum_fifteen_minute'}]",2018-10-14T16:15:00Z,2017-09-26T18:59:00Z,False,TX,ACTIVE,ARFT2,America/Chicago,3.96,2592900
12.73,534,544.6,63432,30.17805,-97.74528000000001,225,E William Cannon Wet Pond,"[{'count': 2872, 'first_report': '1536968700', 'total': 4.24, 'last_report': '1539561600', 'report_type': 'precip_accum_fifteen_minute'}]",2018-10-14T16:15:00Z,2017-09-26T18:59:00Z,False,TX,ACTIVE,ARIT2,America/Chicago,4.24,2592900
8.56,615,620.1,63449,30.08271,-97.6935,225,Evelyn Drive,"[{'count': 2876, 'first_report': '1536968700', 'total': 2.4, 'last_report': '1539561600', 'report_type': 'precip_accum_fifteen_minute'}]",2018-10-14T16:15:00Z,2017-09-26T18:59:00Z,False,TX,ACTIVE,ADET2,America/Chicago,2.4,2592900
6.64,684,708.7,63466,30.086440000000003,-97.84853000000001,187,Onion Creek at Buda,"[{'count': 2868, 'first_report': '1536969300', 'total': 4.73, 'last_report': '1539561300', 'report_type': 'precip_accum_since_local_midnight'}]",2018-10-14T16:10:00Z,2017-10-02T16:14:00Z,False,TX,ACTIVE,BDUT2,America/Chicago,4.73,2592000
14.23,530,544.6,72082,29.924259999999997,-97.57903,234,Liberty Lane,"[{'count': 614, 'first_report': '1537212240', 'total': 3.49, 'last_report': '1539558720', 'report_type': 'precip_accum_one_hour'}]",2018-10-14T16:12:00Z,2018-09-12T15:26:00Z,False,TX,ACTIVE,GBR04,America/Chicago,3.49,2346480
9.14,594,603.7,72083,29.993440000000003,-97.64748,234,Grandpa Rd,"[{'count': 614, 'first_report': '1537212240', 'total': 2.23, 'last_report': '1539558720', 'report_type': 'precip_accum_one_hour'}]",2018-10-14T16:12:00Z,2018-09-12T15:26:00Z,False,TX,ACTIVE,GBR05,America/Chicago,2.23,2346480
8.58,527,524.9,72084,29.93471,-97.6781,234,Rolling Ridge,"[{'count': 615, 'first_report': '1537212240', 'total': 1.6, 'last_report': '1539558720', 'report_type': 'precip_accum_one_hour'}]",2018-10-14T16:12:00Z,2018-09-12T15:26:00Z,False,TX,ACTIVE,GBR06,America/Chicago,1.6,2346480
10.23,636,643.0,72085,29.85796,-97.75165,234,Tower Rd,"[{'count': 614, 'first_report': '1537212240', 'total': 2.28, 'last_report': '1539559440', 'report_type': 'precip_accum_one_hour'}]",2018-10-14T16:12:00Z,2018-09-12T15:26:00Z,False,TX,ACTIVE,GBR07,America/Chicago,2.28,2347200
4.49,501,508.5,72087,29.97468,-97.73085999999999,234,Rogers Ranch Rd,"[{'count': 625, 'first_report': '1537212240', 'total': 2.43, 'last_report': '1539559440', 'report_type': 'precip_accum_one_hour'}]",2018-10-14T16:12:00Z,2018-09-12T15:26:00Z,False,TX,ACTIVE,GBR09,America/Chicago,2.43,2347200
7.06,700,715.2,72105,29.920920000000002,-97.87478,234,Harris Hill Rd,"[{'count': 624, 'first_report': '1537212240', 'total': 2.31, 'last_report': '1539558720', 'report_type': 'precip_accum_one_hour'}]",2018-10-14T16:12:00Z,2018-09-12T15:26:00Z,False,TX,ACTIVE,GBR10,America/Chicago,2.31,2346480
2.59,646,656.2,72109,29.992590000000003,-97.84241,234,Bunton Lane,"[{'count': 625, 'first_report': '1537212240', 'total': 3.34, 'last_report': '1539558720', 'report_type': 'precip_accum_one_hour'}]",2018-10-14T16:12:00Z,2018-09-12T15:26:00Z,False,TX,ACTIVE,GBR14,America/Chicago,3.34,2346480
4.74,724,725.1,72110,30.029690000000002,-97.72864,234,Engelke Rd,"[{'count': 625, 'first_report': '1537212240', 'total': 3.39, 'last_report': '1539558720', 'report_type': 'precip_accum_one_hour'}]",2018-10-14T16:12:00Z,2018-09-12T15:26:00Z,False,TX,ACTIVE,GBR15,America/Chicago,3.39,2346480
5.35,778,774.3,72111,30.049290000000003,-97.86896999999999,234,Hays Youth Complex,"[{'count': 625, 'first_report': '1537212240', 'total': 3.86, 'last_report': '1539561300', 'report_type': 'precip_accum_one_hour'}]",2018-10-14T16:12:00Z,2018-09-12T15:26:00Z,False,TX,ACTIVE,GBR16,America/Chicago,3.86,2349060
12.19,995,1023.6,72112,30.052359999999997,-97.9945,234,Sierra West Rd,"[{'count': 625, 'first_report': '1537212240', 'total': 4.89, 'last_report': '1539558720', 'report_type': 'precip_accum_one_hour'}]",2018-10-14T16:12:00Z,2018-09-12T15:26:00Z,False,TX,ACTIVE,GBR17,America/Chicago,4.89,2346480
5.75,840,853.0,72113,30.014870000000002,-97.89453,234,Rocking M Rd,"[{'count': 625, 'first_report': '1537212240', 'total': 4.16, 'last_report': '1539558780', 'report_type': 'precip_accum_one_hour'}]",2018-10-14T16:12:00Z,2018-09-12T15:26:00Z,False,TX,ACTIVE,GBR18,America/Chicago,4.16,2346540
3.92,642,652.9,72114,29.943209999999997,-97.79913,234,FM 21 off FM 2720,"[{'count': 624, 'first_report': '1537212240', 'total': 3.28, 'last_report': '1539558720', 'report_type': 'precip_accum_one_hour'}]",2018-10-14T16:12:00Z,2018-09-12T15:26:00Z,False,TX,ACTIVE,GBR19,America/Chicago,3.28,2346480
